It.Codigo;Descricao
435991319;MOCK-UP BELLA DUCH
435991328;MOCK-UP MONOCANO B
435991367;MOCK-UP DUCHA ADVA
435991420;MOCKUP DUCHA TOPJE
435991611;MOCKUP ACQUA STAR 
435991612;MOCKUP ACQUA STAR 
435991613;MOCKUP ACQUA STAR 
435991615;MOCKUP ACQUA STORM
435991616;MOCKUP ACQUA STORM
435991619;MOCKUP ACQUA STAR 
435991620;MOCKUP ACQUA STORM
435991697;MOCKUP ACQUA DUO B
435991699;MOCKUP ACQUA DUO B
435991701;MOCKUP ACQUA DUO B
435991908;MOCKUP CHU ACQ CEN
435991909;MOCKUP CHU ACQ CEN
435991910;MOCKUP ACQ CENTURY
435991911;MOCKUP ACQ CENTURY
435991917;MOCK-UP LOREN SHOW
435991930;MOCKUP ACQUA DUO M
470174;DISPLAY MODELO ESP
470246;DISPLAY QUADRO P-C
470272;DISPLAY GANCHEIRA 
7010179;1195 C31 TORN LAV 
7010214;1195 C29 TORN LAV 
7010230;1195 C30 TORNEIRA 
7010232;1195 C32 TORNEIRA 
7010234;1196 C42 TORN LAVA
7010235;1198 C42 TORN CUBA
7010252;1198 B42 TORN CUBA
7011133;1167 C31 TORN COZ 
7011135;1168 C31 TORN COZ 
7011153;1133 C47 CR TORN P
7011181;1167 C29 TORN.COZ.
7011192;1167 C33 TORN COZ 
7011198;1168 C30 TORN COZ 
7011200;1167 C30 TORN COZ 
7011206;1167 C32 TORN COZ 
7011208;1168 C32 TORN COZ 
7011211;1177 G27 TORN MESA
7011213;1178 G27 TORN PARE
7012061;1130 C47 CR TORN T
7012068;1131 C30 TORN MQ L
7021144;1256 C32 MIST COZ 
7021145;1258 C32 MIST COZ 
7030182;4901 C41 ACAB.RGAV
7030267;4900 C31 ACAB.P/1.
7030269;4901 C31 ACAB.P/ 1
7030287;4901 C47 ACAB.REG.
7030311;4901 C30 ACAB REG 
7040082;1984 C31 DUCHA HIG
7040101;1984 C47 DUCHA HIG
7040118;1984 C98 DUCHA HIG
7040127;1984 C82 DUCHA HIG
7040134;1984 B83 DUCHA HIG
7040135;1985 C32 DUCHA HIG
7040137;1984 G83 DUCHA HIG
7041241;2000 C30 KIT ACESS
7041243;2060 C30 CABIDE LO
7041249;2020 C30 PAPELEIRA
7041306;2040 B30 TOALHEIRO
7041310;2060 B30 CABIDE LO
7048331;1792 C18 FLEXIVEL 
7048333;1794 C18 FLEXIVEL 
7048359;1130 C12 TORN.DE E
7048400;1185 C80 TORNEIRA 
7048401;1187 C80 TORN. ACI
7048404;7002 C16 DUCHA LOR
7048412;2008 C98 SABONETEI
7048413;2020 C98 PAPELEIRA
7048415;2040 C98 TOALHEIRO
7048417;2045 C98 TOALHEIRO
7048425;1984 C78 DUCHA HIG
7048436;2060 C98 CABIDE C-
7048438;4901 C78 ACAB REG 
7048439;2008 C78 SABONETEI
7048444;2050 C78 TOALHEIRO
7048445;2060 C78 CABIDE LO
7048481;2266 C76 MONOC COZ
7048484;1625 C20 VALVULA C
7048492;7011 C16 DUCHA LOR
7048494;1624 C20 VALV COZ 
7048496;1160 C42 TORNEIRA 
7048498;1153 C42 TORNEIRA 
7048502;1131 C12 TORN MQ L
7048521;2877 C78 MONO CUBA
7048531;1177 B27 TORN MESA
7048533;1178 B27 TORN PARE
7048539;1177 W27 TORN MESA
7048541;1178 W27 TORN PARE
7048558;1616 B20 VALV LAV 
7048560;7034 B16 DUCHA QUA
7048564;1195 C55 TORN ALTA
7048569;4906 C78 ACAB PRES
7048575;1195 B55 TORNEIRA 
7048579;2022 B82 SUPORTE T
7048583;2060 B82 CABIDE LO
7048588;2040 R82 TOALHEIRO
7048590;2060 R82 CABIDE LO
7048594;1280 C53 BARRA DE 
7048605;2875 N89 MONO LAV 
7048606;2877 N89 MONO CUB 
7048621;2020 N82 PAPELEIRA
7048634;2030 C82 PRATELEIR
7048635;2040 C82 TOALHEIRO
7048636;2042 C82 TOALHEIRO
7048639;2020 C82 PAPELEIRA
7048640;2022 C82 SUPORTE T
7048652;1984 B37 DUCHA HIG
7048655;2257 B82 MONO LOFT
7048656;2257 N82 MONO LOFT
7048657;2042 B83 TOALHEIRO
7048673;2257 C72 MONO COZI
7048679;2875 B42 MONO LAVA
7048685;1197 B78 TORN LAV 
7048686;COMBO 2263I 82 C- 
7048692;2045 C87 BARRA ROS
7048698;2020 G87 PAPELEIRA
7048700;2045 G87 BARRA ROS
7048702;2040 G87 BARRA BAN
7048703;2042 G87 BARRA DUP
7048704;2060 G87 CABIDE TR
7048709;2877 C92 MONO APOI
7048711;2877 B92 MONO APOI
7048712;2875 G92 MONO LAVA
7048713;2877 G92 MONO APOI
7048716;5014 C16 DUCHA QUA
7048717;7034 G16 DUCHA QUA
7048719;1616 G20 VALV LAV 
7048723;1194 G92 TORN LAVA
7048724;1195 G92 TORN APOI
7048725;1194 B92 TORN.LAVA
7048726;1195 B92 TORN APOI
7048727;1194 C92 TORN LAVA
7048728;1195 C92 TORN APOI
7048731;4993 C83 ACAB MONO
7048739;4993 C92 ACAB MONO
7048741;4993 G92 ACAB MONO
7048753;4900 G92 ACAB GAV 
7048759;4901 G92 ACAB REG 
7048803;2875 C46 MONO LAVA
7048804;2875 B46 MONO LAV 
7050115;1784 C18 FLEXIVEL 
7050188;1602 C20 VALV LAV 
7050189;1604 C20 VALV AMER
7050191;1612 C20 VALV TANQ
7050193;1723 C14 SF LV G 7
7050204;1620 C20 VALV LAVA
7050210;1808 C13 KIT FIX B
7050224;1790 C19 GRELHA IN
7081005;T-05 M.V.C (DIREIT
7081006;T-06 M.V.C (ESQUER
7081094;T-401 PORCA SEXTAV
7081122;T-1002 MVC MEDIO D
7081249;T-227 MECANISMO (M
7083107;T-901 VOLANTE C29 
7084010;T-67 FLEXIVEL 1,80
7084050;T-117 FLEXIVEL 1,1
7084094;T-30A GATILHO COM 
7084095;T-30 GATILHO COM S
7084433;T-05R MVC DIREITO 
7084468;T-1314 CJ DE FIXAC
7085005;T-142 FLEXIVEL 1,2
7110001;1195 F27 BR FATTI 
7110003;1195 F34 BR TORN L
7110004;1194 F56 BR TORN L
7110013;1195 F31 BR TORN L
7110038;1179 F79 TORN AUTO
7110045;1195 F71 CR TORN L
7110049;1195 F61 BR TORN L
7110051;1195 F61 PR TORN L
7110059;1195 F71 RG TORN L
7111002;1167 F34 BR TORN C
7111003;1168 F34 BR TORN C
7111004;1132 F34 BR TORN P
7111014;1167 F31 BR TORN C
7111015;1168 F31 BR TORN C
7111017;1168 F31 CR TORN C
7111063;1168 F31 PR/CR TOR
7111070;1168 F71 CR TORN C
7111076;1167 F61 BR TORN C
7111078;1168 F61 BR TORN C
7111080;1132 F61 BR TORN P
7111082;1167 F61 PR TORN C
7111084;1168 F61 PR TORN C
7111094;1168 F64 BR TORN C
7111100;1168 F64 PR TORN C
7111110;1168 F71 PF TORN C
7112000;1130 F34 BR TORN T
7112004;1131 F34 BR BRIO T
7112008;1130 F61 BR TORN T
7140002;1984 F31 BR DUCHA 
7140006;2000 F22 KIT BR C/
7140007;2060 F22 BR CABIDE
7140009;2049 F22 BR TOALHE
7140014;2000 F22 KIT CR C/
7140017;2049 F22 CR TOALHE
7140048;1984 F31 PR/CR DUC
7140050;7004 F16 DUCHA FRI
7140051;2009 F24 BR SABONE
7140057;2000 F24 BR KIT 5P
7140064;2000 F24 PR KIT 5P
7140109;2040 F24 PF TOALHE
7150111;ASSENTO ALMOFADADO
7150115;ASSENTO ALMOFADADO
7151006;KIT UNIVERSAL CX A
7151009;MECANISMO ENTRADA 
7153002;1602 F20 PF VALV L
7153011;ASSENTO DURATTI PP
7153013;ASSENTO DURATTI PP
7153018;ASSENTO LOREN ONE 
7153026;ASSENTO LOREN LUNA
7160003;ADAPTADOR 3/4 P/ T
7160005;ENGATE RAPIDO COM 
7160006;ESGUICHO AJUSTAVEL
7209031;FITA VEDA ROSCA 12
7381020;5302A CANOPLA BCA 
7381022;5318 CILINDRO P41/
7381054;5109B TAMPA FRONTA
7381168;5205 EIXO COMPLETO
7381171;5209 TAMPA FRONTAL
7389007;5220A JG REPAR P21
7411004;1686 REFIL P/ ACQU
7411007;REFIL P/FILTRO VER
7411014;RPC-01 REFIL PURIF
7411016;PURIF AGUA VITALE 
7411022;ELEM FIL POLIPROPI
7411026;ELEM FILT CARVAO A
7411027;ELEM FIL CARVAO AT
7411040;PUR TOR ACQUA DUE 
7411041;PUR TOR ACQUA DUE 
7411042;REFIL P/PURIF ACQ 
7411057;FILTRO AGUA P/TORN
7411119;RPC-01 REFIL PURIF
7411327;LOREN ACQUA MAQ 5 
7411814;FILTRO AGUA/REG AC
7411815;FILTR AGUA/TOR ACQ
7411816;FILTRO AGUA/REG AC
7411817;FILTR AGUA/TOR ACQ
7411818;FILTR AGUA/TOR ACQ
7411819;PUR TOR ACQUABELLA
7412087;AQUEC. A GAS LZ 75
7412093;AQUEC. A GAS LZ 20
7412123;AQUEC. A GAS LZ 45
7412133;AQUEC. A GAS LZ 20
7412134;AQUEC. A GAS LZ 20
7412137;AQUEC. A GAS LZ 16
7412138;AQUEC. A GAS LZ 16
7412140;AQUEC. A GAS LZ 16
7412149;AQUEC. A GAS LZ 25
7412150;AQUEC. A GAS LZ 25
7413011;BOMBA SUBMERSA BSL
7413013;BOMBA SUBMERSA BSL
7413014;BOMBA SUBMERSA BSL
7413015;BOMBA SUBMERSA BSL
7413016;BOMBA SUBMERSA BSL
7413017;BOMBA SUBMERSA BSL
7413019;BOMBA PERIFERICA B
7413021;BOMBA SUBMERSA BSL
7413022;BOMBA SUBMERSA BSL
7413023;BOMBA SUBMERSA BSL
7481040;T-1012 MECANISMO A
7481044;T-1011C VOLANTE MA
7510050;CHU ACQ STORM ULT 
7510051;CHU ACQ STORM ULT 
7510054;CHU ACQSTORM ULT B
7510055;CHU ACQSTORM ULT B
7510057;CHU ACQSTORM ULT B
7510059;CHU ACQSTORM ULT B
7510060;CHU ACQ STORM ULT 
7510061;CHU ACQ STORM ULT 
7510086;CHU ACQWAVE ULT BK
7510098;CHUV ACQUA DUO BCO
7510099;CHUV ACQUA DUO BCO
7510100;CHUV ACQUA DUO BCO
7510101;CHUV ACQUA DUO BC/
7510102;CHUV ACQUA DUO BC/
7510104;CHUV ACQUA DUO BK/
7510105;CHUV ACQUA DUO BK/
7510106;CHUV ACQUA DUO BK/
7510125;CHUV ACQUA DUO BC/
7510128;CHUV ACQUA DUO BK/
7510142;CHUV ACQUA DUO MB 
7510143;CHUV ACQUA DUO MB 
7510150;LOREN SHOWER MULTI
7510152;LOREN SHOWER MULTI
7510155;LOREN SHOWER ELETR
7510156;LOREN SHOWER ELETR
7510157;LOREN SHOWER ELETR
7510165;CHUV ACQUA DUO BC/
7510166;CHUV ACQUA DUO BC/
7510168;CHUV ACQUA DUO BK/
7510501;DUCHA ADVANCED MUL
7510502;DUCHA ADVANCED MUL
7510503;DUCHA ADVANCED MUL
7510504;DUCHA ADVANCED MUL
7510505;DUCHA ADVANCED MUL
7510506;DUCHA ADVANCED MUL
7510515;DUCHA ADVANC.TUR M
7510516;DUCHA ADVANC.TUR M
7510521;DUCHA ADVAN ELETRO
7510522;DUCHA ADVAN ELETRO
7510523;DUCHA ADVAN ELETRO
7510524;DUCHA ADVANC.TUR M
7510526;DUCHA ADVANC.TUR M
7510527;DUCHA ADV TUR ELET
7510528;DUCHA ADV TUR ELET
7510530;DUCHA ADV TUR ELET
7510536;DUCHA ADV ELETRO B
7510539;DUCHA ADV ELETRO B
7510600;CHU ACQCENTURY EL 
7510603;CHU ACQCENTURY EL 
7510604;CHU ACQCENTURY EL 
7510605;CHU ACQCENTURY EL 
7510628;CHU ACQCENTURY DG 
7510629;CHU ACQCENTURY DG 
7510631;CHU ACQCENTURY DG 
7510632;CHU ACQCENTURY DG 
7511040;DUO SHOWER QUA MUL
7511041;DUO SHOWER QUA MUL
7511042;DUO SHOWER QUA MUL
7511045;DUO SHOW QUA TU MU
7511047;DUO SHOWER QUA ELE
7511049;DUO SHOW QUA TU EL
7514200;CHUV TRADICAO 220V
7520004;CANO BRANCO P/CHUV
7520031;CANO CINZA CLARO P
7520040;KIT PRATICO
7530110;MAXI DUCHA 127V 32
7530111;MAXI DUCHA 127V 46
7530112;MAXI DUCHA 127V 55
7530113;MAXI DUCHA 220V 32
7530114;MAXI DUCHA 220V 46
7530115;MAXI DUCHA 220V 55
7530273;MAXI DUCHA 127/550
7530275;MAXI DUCHA 220/550
7530297;MAXI BANHO C/CANO 
7530298;MAXI BANHO C/CANO 
7530299;MAXI BANHO C/CANO 
7530425;LOREN BELLO BC CAN
7530426;LOREN BELLO BC CAN
7530427;LOREN BELLO BC CAN
7530428;LOREN BELLO BC CAN
7530429;LOREN BELLO AZ CAN
7530430;LOREN BELLO AZ CAN
7530431;LOREN BELLO AZ CAN
7530432;LOREN BELLO AZ CAN
7530434;LOREN BELLO BG CAN
7530435;LOREN BELLO BG CAN
7530439;LOREN BELLO CZ CAN
7531101;LORENDUC 127V 5500
7531103;LORENDUC 220V 6800
7531200;BELLA DUCHA 4T 127
7531202;BELLA DUCHA 4T 220
7531204;DUCHA FASHION 127V
7531205;DUCHA FASHION 220V
7531211;BELLA DUCHA 4T 127
7531212;BELLA DUCHA 4T 220
7531214;BELLA DUCHA 4T 127
7531215;BELLA DUCHA 4T 220
7531222;DUCHA FASHION 127V
7531228;DUCHA FASHION 220V
7531231;DUCHA FASHION 220V
7531232;BELLA DUCHA 4T 127
7531233;BELLA DUCHA 4T 127
7531234;BELLA DUCHA 4T 220
7531254;BELLA DUC TURBO 4T
7531280;DUCHA FUTURA MULTI
7531281;DUCHA FUTURA MULTI
7531282;DUCHA FUTURA MULTI
7531285;DUCHA FUTURA ELETR
7531290;DUCHA FUTURA ELETR
7531292;DUCHA FUTURA ELETR
7531305;DUCHA FUTURA BL 22
7531310;DUCHA FUTURA BL 22
7540110;RELAX 220V/5500W B
7540111;RELAX 220V/4600W B
7540112;RELAX 127V/5500W B
7540113;RELAX 127V/4600W B
7540115;RELAX 220V/5500W B
7540116;RELAX 220V/4600W B
7540151;DUCHA JET4 220V 68
7540152;DUCHA JET4 127V 55
7540170;JET CONTROL ELETR 
7540171;JET CONTROL ELETR 
7540400;JET TURBO MULTITEM
7540401;JET TURBO MULTITEM
7540550;DU ACQ STAR ULT BC
7540552;DU ACQ STAR ULT BC
7540554;DU ACQ STAR ULT BK
7540558;DU ACQ STAR ULT BC
7540560;DU ACQ STAR BLACK 
7540576;DUCHA ACQ JET ULT 
7540583;DUC ACQ JET ULT BC
7540584;DUC ACQ JET ULT BC
7540586;DUC ACQ JET ULT BK
